Concentration,label,Forecast
1.110132,0.386464,
1.014414,0.378809,
0.942741,0.378809,
0.947428,0.378809,
0.965197,0.378809,
1.00555,0.34811,
0.85259,0.34811,
1.016574,0.34811,
1.268203,0.34811,
0.92094,0.34811,
1.164302,0.421587,
1.13706,0.421587,
1.506481,0.421587,
1.431926,0.421587,
1.250308,0.360822,
1.178157,0.360822,
1.058978,0.360822,
1.390357,0.360822,
1.389842,0.372591,
1.114882,0.372591,
1.038005,0.372591,
1.013071,0.3048,
0.932995,0.3048,
0.932995,0.3048,
0.932995,0.3048,
0.820596,0.3048,
0.757009,0.345622,
0.864767,0.345622,
0.910419,0.345622,
0.805531,0.345622,
0.805565,0.323131,
0.734289,0.323131,
0.638875,0.323131,
0.631347,0.311125,
0.510232,0.311125,
0.498141,0.311125,
0.539474,0.311125,
0.476828,0.301356,
0.527028,0.301356,
0.489471,0.301356,
0.439991,0.301356,
0.432564,0.36429,
0.446616,0.36429,
0.484111,0.36429,
0.410062,0.36429,
0.408983,0.323147,
0.412216,0.323147,
0.392871,0.323147,
0.412744,0.323147,
0.39345,0.298054,
0.407016,0.298054,
0.392677,0.298054,
0.37997,0.298054,
0.377273,0.269218,
0.385544,0.269218,
0.395751,0.269218,
0.445567,0.269218,
0.463144,0.269218,
0.551644,0.28084,
0.469922,0.28084,
0.494342,0.28084,
0.506934,0.28084,
0.612688,0.282515,
0.725748,0.282515,
0.743116,0.282515,
0.708928,0.282515,
0.852462,0.35152,
0.884355,0.35152,
0.892906,0.35152,
1.104126,0.35152,
1.244892,0.415061,
1.126658,0.415061,
1.174875,0.415061,
1.2027,0.415061,
1.033594,0.391212,
1.055097,0.391212,
1.042056,0.391212,
1.244149,0.438954,
1.236478,0.438954,
1.080832,0.438954,
1.086959,0.438954,
1.43195,0.46146,
1.048362,0.46146,
1.150703,0.46146,
0.993171,0.46146,
1.008359,0.46146,
1.187272,0.520945,
1.37172,0.520945,
1.483498,0.520945,
1.418774,0.475768,
1.17337,0.475768,
0.90931,0.475768,
0.81724,0.475768,
0.81261,0.475768,
0.758502,0.479812,
0.697502,0.479812,
0.643169,0.479812,
0.598623,0.479812,
0.679685,0.616747,
0.695086,0.616747,
0.807265,0.616747,
0.841036,0.616747,
1.064148,0.870879,
0.635338,0.870879,
0.727611,0.870879,
0.694842,0.968694,
0.58728,0.968694,
0.582422,0.968694,
0.69552,0.968694,
0.623425,0.968694,
0.541576,0.987112,
0.60141,0.987112,
0.65398,0.987112,
0.615066,0.987112,
0.62026,0.946929,
0.644378,0.946929,
0.639331,0.946929,
0.570114,0.946929,
0.741727,1.123225,
0.832907,1.123225,
0.638897,1.123225,
0.452122,0.981589,
0.431961,0.981589,
0.458958,0.981589,
