Concentration,Forecast
57.0,65.03304251283008
52.0,65.02097286170724
79.0,65.05114698951434
75.0,65.0994255940057
70.0,65.10546041956712
70.0,65.09339076844428
64.0,65.05718181507577
74.0,65.10546041956712
60.0,65.10546041956712
74.0,65.12356489625138
70.0,65.14166937293564
73.0,65.17787832630415
56.0,65.05718181507577
51.0,65.12356489625138
53.0,65.0994255940057
79.0,65.01493803614582
64.0,65.05718181507577
60.0,65.16580867518132
78.0,65.08735594288287
74.0,65.15373902405848
58.0,65.1295997218128
59.0,65.14166937293564
75.0,65.14770419849705
66.0,65.05718181507577
59.0,65.07528629176002
71.0,65.03304251283008
51.0,65.05114698951434
52.0,65.03304251283008
66.0,65.06321664063718
79.0,65.09339076844428
66.0,65.13563454737422
57.0,65.08735594288287
74.0,65.17787832630415
77.0,65.0390773383915
74.0,65.15373902405848
72.0,65.1597738496199
59.0,65.0994255940057
51.0,65.05114698951434
72.0,65.1295997218128
54.0,65.03304251283008
66.0,65.08735594288287
56.0,65.06321664063718
52.0,65.0390773383915
57.0,65.17787832630415
66.0,65.15373902405848
70.0,65.1295997218128
54.0,65.07528629176002
62.0,65.0994255940057
53.0,65.14770419849705
73.0,65.1295997218128
67.0,65.17787832630415
56.0,65.07528629176002
59.0,65.02700768726866
68.0,65.08735594288287
58.0,65.14770419849705
60.0,65.13563454737422
69.0,65.11149524512854
58.0,65.0692514661986
63.0,65.14770419849705
54.0,65.14770419849705
78.0,65.08735594288287
53.0,65.11149524512854
62.0,65.17184350074274
69.0,65.17184350074274
71.0,65.14166937293564
66.0,65.04511216395292
55.0,65.08132111732144
66.0,65.14770419849705
61.0,65.13563454737422
66.0,65.06321664063718
66.0,65.02097286170724
75.0,65.14770419849705
59.0,65.02097286170724
79.0,65.09339076844428
67.0,65.08132111732144
63.0,65.10546041956712
53.0,65.14166937293564
76.0,65.01493803614582
73.0,65.18391315186558
75.0,65.10546041956712
65.0,65.05718181507577
76.0,65.10546041956712
55.0,65.03304251283008
77.0,65.12356489625138
72.0,65.14770419849705
60.0,65.0692514661986
73.0,65.0390773383915
62.0,65.10546041956712
51.0,65.14770419849705
55.0,65.0692514661986
68.0,65.05114698951434
66.0,65.10546041956712
58.0,65.14166937293564
66.0,65.01493803614582
71.0,65.05718181507577
66.0,65.05718181507577
64.0,65.15373902405848
56.0,65.02700768726866
61.0,65.10546041956712
74.0,65.12356489625138
52.0,65.05718181507577
67.0,65.11753007068997
68.0,65.14770419849705
76.0,65.0692514661986
66.0,65.08132111732144
57.0,65.18391315186558
61.0,65.14770419849705
62.0,65.14166937293564
52.0,65.0994255940057
74.0,65.15373902405848
70.0,65.01493803614582
52.0,65.04511216395292
51.0,65.05114698951434
72.0,65.11149524512854
64.0,65.07528629176002
77.0,65.01493803614582
76.0,65.11753007068997
67.0,65.03304251283008
62.0,65.08735594288287
73.0,65.08735594288287
55.0,65.1597738496199
61.0,65.06321664063718
58.0,65.03304251283008
79.0,65.09339076844428
70.0,65.0692514661986
62.0,65.05114698951434
61.0,65.0390773383915
57.0,65.17184350074274
65.0,65.15373902405848
70.0,65.17184350074274
65.0,65.04511216395292
67.0,65.1597738496199
69.0,65.11149524512854
65.0,65.04511216395292
77.0,65.02700768726866
71.0,65.09339076844428
51.0,65.08735594288287
78.0,65.13563454737422
51.0,65.1597738496199
55.0,65.02700768726866
57.0,65.17184350074274
76.0,65.08735594288287
58.0,65.14770419849705
66.0,65.16580867518132
54.0,65.04511216395292
52.0,65.0390773383915
71.0,65.14166937293564
77.0,65.10546041956712
76.0,65.0994255940057
73.0,65.14770419849705
65.0,65.0994255940057
75.0,65.0994255940057
75.0,65.13563454737422
74.0,65.03304251283008
66.0,65.0994255940057
63.0,65.10546041956712
66.0,65.17787832630415
52.0,65.0994255940057
66.0,65.17184350074274
51.0,65.16580867518132
69.0,65.02097286170724
55.0,65.11149524512854
75.0,65.12356489625138
66.0,65.03304251283008
73.0,65.02700768726866
75.0,65.16580867518132
60.0,65.05114698951434
71.0,65.16580867518132
59.0,65.09339076844428
56.0,65.07528629176002
73.0,65.06321664063718
76.0,65.02097286170724
73.0,65.17184350074274
71.0,65.1295997218128
75.0,65.15373902405848
73.0,65.02700768726866
56.0,65.05718181507577
51.0,65.08735594288287
56.0,65.04511216395292
57.0,65.10546041956712
77.0,65.10546041956712
66.0,65.0390773383915
51.0,65.03304251283008
59.0,65.18391315186558
67.0,65.17184350074274
78.0,65.14770419849705
