Concentration,label,Forecast
0.0617,0.07205,
0.0419,0.07205,
0.06265,0.07205,
0.03295,0.07495,
0.02795,0.07495,
0.0194,0.07495,
0.02545,0.07495,
0.037,0.05605,
0.01735,0.05605,
0.02245,0.05605,
0.0206,0.059,
0.02385,0.059,
0.01705,0.059,
0.02135,0.059,
0.01925,0.059,
0.0173,0.05545,
0.01715,0.05545,
0.0169,0.05545,
0.02785,0.05185,
0.0292,0.05185,
0.033474,0.05185,
0.02735,0.05185,
0.03025,0.0632,
0.03025,0.0632,
0.03025,0.0632,
0.02525,0.0632,
0.0276,0.0632,
0.0224,0.06435,
0.02255,0.06435,
0.0258,0.06435,
0.02485,0.06435,
0.02695,0.0654,
0.02355,0.0654,
0.02155,0.0654,
0.0201,0.0654,
0.0209,0.062368,
0.02465,0.062368,
0.0217,0.062368,
0.02305,0.062368,
0.02175,0.05235,
0.0208,0.05235,
0.02225,0.05235,
0.0217,0.0483,
0.032,0.0483,
0.02525,0.0483,
0.0229,0.0483,
0.02485,0.0483,
0.0219,0.0328,
0.0234,0.0328,
0.02355,0.0328,
0.02615,0.03005,
0.02425,0.03005,
0.020316,0.03005,
0.02075,0.03005,
0.0204,0.03005,
0.02325,0.03545,
0.0242,0.03545,
0.02205,0.03545,
0.0237,0.0292,
0.0225,0.0292,
0.02025,0.0292,
0.02265,0.0292,
0.02955,0.0292,
0.02975,0.03085,
0.02975,0.03085,
0.02335,0.03085,
0.02665,0.0368,
0.0303,0.0368,
0.03525,0.0368,
0.05165,0.0368,
0.04545,0.0368,
0.0441,0.05505,
0.0612,0.05505,
0.034,0.05505,
0.03305,0.05505,
0.02725,0.02785,
0.0386,0.02785,
0.0646,0.02785,
0.043,0.02785,
0.04425,0.0284,
0.056,0.0284,
0.03565,0.0284,
0.046053,0.0284,
0.04965,0.025,
0.047,0.025,
0.05385,0.025,
0.056,0.025,
0.05725,0.02255,
0.05355,0.02255,
0.0635,0.02255,
0.0419,0.02605,
0.02795,0.02605,
0.02635,0.02605,
0.0344,0.02605,
0.0258,0.02605,
0.02685,0.0245,
0.0239,0.0245,
0.02305,0.0245,
0.024,0.0245,
0.0424,0.02275,
0.02195,0.02275,
0.02575,0.02275,
0.02005,0.02275,
0.0221,0.02385,
0.02165,0.02385,
0.0224,0.02385,
0.01925,0.0232,
0.0211,0.0232,
0.0218,0.0232,
0.01745,0.0232,
0.016158,0.0209,
0.0159,0.0209,
0.0158,0.0209,
0.0179,0.0209,
0.01425,0.02555,
0.0166,0.02555,
0.02555,0.02555,
0.0162,0.02555,
0.02515,0.02555,
0.02665,0.0292,
0.01635,0.0292,
0.0085,0.0292,
0.0085,0.0292,
0.01125,0.03435,
0.01165,0.03435,
0.01215,0.03435,
0.01085,0.03435,
0.01185,0.03585,
0.0109,0.03585,
0.00855,0.03585,
0.0107,0.03585,
0.00575,0.03445,
0.00395,0.03445,
0.00455,0.03445,
0.00495,0.03445,
0.00545,0.03225,
0.00445,0.03225,
0.00335,0.03225,
0.00385,0.03225,
0.00425,0.03205,
0.005,0.03205,
0.00475,0.03205,
0.00965,0.03255,
0.00865,0.03255,
0.0094,0.03255,
0.00845,0.03255,
0.0103,0.03255,
0.0144,0.03445,
0.01065,0.03445,
0.01295,0.03445,
0.0199,0.03445,
0.02125,0.0336,
0.0167,0.0336,
0.0222,0.0336,
0.02295,0.0336,
0.01485,0.035,
0.02055,0.035,
0.03115,0.035,
0.02,0.0353,
0.06825,0.0353,
0.03575,0.0353,
0.02205,0.0353,
0.01905,0.0313,
0.04245,0.0313,
0.0444,0.0313,
0.0728,0.0313,
0.06135,0.0313,
0.0939,0.03375,
0.0931,0.03375,
0.090211,0.03375,
0.0313,0.03375,
0.0992,0.03165,
0.1401,0.03165,
0.0381,0.03165,
0.02235,0.03215,
0.02205,0.03215,
0.019,0.03215,
0.0261,0.03215,
0.0148,0.03215,
0.0199,0.0355,
0.02545,0.0355,
0.031,0.0355,
0.02235,0.03335,
0.0172,0.03335,
0.0167,0.03335,
0.017,0.03335,
0.0176,0.0352,
0.0193,0.0352,
0.0218,0.0352,
0.02245,0.0352,
0.0219,0.03555,
0.0243,0.03555,
0.0225,0.03555,
0.0204,0.03555,
0.0188,0.03555,
0.01785,0.0364,
0.0173,0.0364,
0.0177,0.0364,
0.01885,0.0364,
0.0193,0.0377,
0.017737,0.0377,
0.0185,0.0377,
0.0182,0.03785,
0.01965,0.03785,
0.018,0.03785,
0.0198,0.03785,
0.022,0.0385,
0.022,0.0385,
0.0199,0.0385,
0.0191,0.0385,
0.01995,0.0395,
0.02325,0.0395,
0.0213,0.0395,
0.03305,0.0395,
0.05995,0.0395,
0.04885,0.0418,
0.0312,0.0418,
0.02765,0.0418,
0.0246,0.0418,
0.02255,0.0391,
0.01235,0.0391,
0.01065,0.0391,
0.0113,0.0391,
0.01,0.03915,
0.0115,0.03915,
0.02815,0.03915,
0.01605,0.03915,
0.06345,0.0418,
0.0166,0.0418,
0.03225,0.0418,
0.046632,0.0418,
0.0985,0.0416,
0.07205,0.0416,
0.02575,0.0416,
0.02215,0.03925,
0.02155,0.03925,
0.02615,0.03925,
0.06435,0.03925,
0.02695,0.03925,
0.02915,0.0411,
0.0265,0.0411,
0.02685,0.0411,
0.0268,0.0411,
0.0202,0.04455,
0.0226,0.04455,
0.0421,0.04455,
0.01865,0.04455,
0.0152,0.04485,
0.02065,0.04485,
0.0162,0.04485,
0.01395,0.04125,
0.0181,0.04125,
0.0075,0.04125,
0.00815,0.04125,
0.00745,0.04125,
0.0215,0.0454,
0.01165,0.0454,
0.01315,0.0454,
0.008368,0.0454,
0.0104,0.04725,
0.00805,0.04725,
0.0079,0.04725,
0.00955,0.04725,
0.0097,0.045684,
0.00935,0.045684,
0.00895,0.045684,
0.0097,0.0724,
0.01095,0.0724,
0.01045,0.0724,
0.0108,0.0724,
0.0072,0.0724,
0.00715,0.0548,
0.00735,0.0548,
0.0065,0.0548,
0.00575,0.03965,
0.00535,0.03965,
0.0039,0.03965,
0.0032,0.03965,
0.0034,0.03965,
0.003,0.0289,
0.00255,0.0289,
0.0047,0.0289,
0.00715,0.02995,
0.00595,0.02995,
0.0215,0.02995,
0.02945,0.02995,
0.1089,0.02995,
0.117158,0.0235,
0.07835,0.0235,
0.0948,0.0235,
0.03535,0.0235,
0.0584,0.0235,
0.0485,0.0235,
0.0458,0.0235,
0.037,0.0235,
0.0507,0.0216,
0.06,0.0216,
0.04725,0.0216,
0.02115,0.0216,
0.0416,0.021,
0.0403,0.021,
0.0293,0.021,
0.03815,0.02575,
0.0294,0.02575,
0.02935,0.02575,
0.02995,0.02575,
0.0362,0.02575,
0.0633,0.0255,
0.0581,0.0255,
0.04815,0.0255,
0.04015,0.05125,
0.03275,0.05125,
0.0242,0.05125,
0.04845,0.05125,
0.0331,0.05125,
0.02475,0.0356,
0.02235,0.0129,
0.019895,0.0167,
0.02125,0.00925,
0.02785,0.013,
0.0266,0.01275,
0.02065,0.02835,
0.0168,0.04595,
0.01545,0.057842,
0.01465,0.02655,
0.01615,0.0281,
0.01475,0.0201,
0.01445,0.0116,
0.01405,0.01015,
0.0141,0.0141,
0.01455,0.027,
0.0177,0.0318,
0.01345,0.0082,
0.0131,0.01165,
0.01475,0.01175,
0.0133,0.00745,
0.0122,0.0134,
0.0118,0.0096,
0.0131,0.0087,
0.0141,0.00815,
0.0155,0.01355,
0.02545,0.01165,
0.0256,0.025526,
0.02155,0.0162,
0.01625,0.01145,
0.01495,0.0141,
0.0145,0.0178,
0.014105,0.01535,
0.0136,0.0108,
0.01355,0.01385,
0.01615,0.01365,
0.05385,0.01565,
0.0595,0.01565,
0.0355,0.01565,
0.05545,0.01565,
0.0439,0.01095,
0.04785,0.01095,
0.0775,0.01095,
0.0943,0.01095,
0.1037,0.0107,
0.03575,0.0107,
0.08145,0.0107,
0.0624,0.0145,
0.04365,0.0145,
0.02795,0.0145,
0.06765,0.0145,
0.0579,0.0145,
0.12415,0.00805,
0.05255,0.00805,
0.01965,0.00805,
0.0192,0.00805,
0.0315,0.0086,
0.0484,0.0086,
0.065526,0.0086,
0.10935,0.0086,
0.05395,0.01115,
0.04945,0.01115,
0.0632,0.01115,
0.0362,0.0143,
0.0345,0.0143,
0.2061,0.0143,
0.19145,0.0143,
0.1054,0.0098,
0.063,0.0098,
0.0251,0.0098,
0.03065,0.0098,
0.05245,0.0098,
0.12255,0.0133,
0.12845,0.0133,
0.0441,0.0133,
0.03145,0.0133,
0.0351,0.0094,
0.02695,0.0094,
0.0409,0.0094,
0.0456,0.0094,
0.0535,0.0094,
0.0514,0.0137,
0.06355,0.0137,
0.07195,0.0137,
0.0313,0.00905,
0.05765,0.00905,
0.03035,0.00905,
0.01545,0.00905,
0.014211,0.007737,
0.0162,0.007737,
0.04395,0.007737,
0.0601,0.018,
0.0757,0.018,
0.05985,0.018,
0.02625,0.018,
0.0145,0.0175,
0.02135,0.0175,
0.0368,0.0175,
0.0378,0.0175,
0.0416,0.0238,
0.0347,0.0238,
0.02015,0.0238,
0.02515,0.0238,
0.0402,0.0238,
0.0309,0.03045,
0.0208,0.03045,
0.03805,0.03045,
0.05625,0.0152,
0.0492,0.0152,
0.0396,0.0152,
0.06955,0.0152,
0.05925,0.04515,
0.1102,0.04515,
0.23845,0.04515,
0.16045,0.04515,
0.0836,0.0678,
0.18405,0.0678,
0.09415,0.0678,
0.065158,0.0678,
0.11595,0.0678,
0.10415,0.07705,
0.1346,0.07705,
0.12625,0.07705,
0.0861,0.07705,
0.07205,0.0422,
0.0525,0.0422,
0.0428,0.0422,
0.0513,0.0422,
0.0603,0.05735,
0.07955,0.05735,
0.08915,0.05735,
0.0493,0.06195,
0.0457,0.06195,
0.056,0.06195,
0.0586,0.06195,
0.083,0.06195,
0.0643,0.074,
0.0595,0.074,
0.0723,0.074,
0.06945,0.074,
0.0914,0.03815,
0.1573,0.03815,
0.12965,0.03815,
0.1601,0.03815,
0.10205,0.0217,
0.1028,0.0217,
0.1248,0.0217,
0.144421,0.03265,
0.1024,0.03265,
0.0823,0.03265,
0.102,0.03265,
0.0753,0.0429,
0.05485,0.0429,
0.07935,0.0429,
0.05775,0.0429,
0.06615,0.0692,
0.06215,0.0692,
0.07965,0.0692,
0.08475,0.0692,
0.08995,0.0547,
0.1081,0.0547,
0.1307,0.0547,
0.12525,0.0547,
0.11815,0.04675,
0.0919,0.04675,
0.08675,0.04675,
0.0844,0.04675,
0.06415,0.04675,
0.05155,0.04675,
0.0521,0.0337,
0.05255,0.0337,
0.0569,0.0337,
0.06185,0.01825,
0.08395,0.01825,
0.07795,0.01825,
0.078,0.01825,
0.10815,0.0183,
0.060842,0.0183,
0.0586,0.0183,
0.0589,0.0183,
0.0881,0.01785,
0.11365,0.01785,
0.09085,0.01785,
0.1275,0.01565,
0.1324,0.01565,
0.1846,0.01565,
0.301,0.01565,
0.2396,0.01565,
0.27615,0.01555,
0.11165,0.01555,
0.13785,0.01555,
0.2285,0.01555,
0.10995,0.0167,
0.1162,0.0167,
0.1195,0.0167,
0.1072,0.0167,
0.10925,0.0129,
0.15485,0.0129,
0.08125,0.0129,
0.0965,0.0065,
0.19285,0.0065,
0.12665,0.0065,
0.20565,0.0065,
0.239684,0.00885,
0.25035,0.00885,
0.25805,0.00885,
0.2701,0.00885,
0.256,0.009579,
0.2455,0.009579,
0.2059,0.009579,
0.29355,0.009579,
0.1959,0.00975,
0.11755,0.00975,
0.09925,0.00975,
0.10365,0.00975,
0.069,0.00975,
0.0762,0.0121,
0.08655,0.0121,
0.0794,0.0121,
0.0783,0.0121,
0.07635,0.0156,
0.072,0.0156,
0.12775,0.0156,
0.1289,0.0156,
0.08415,0.01485,
0.07535,0.01485,
0.07595,0.01485,
0.19525,0.01485,
0.1617,0.0156,
0.142632,0.0156,
0.09165,0.0156,
0.0815,0.0156,
0.08075,0.0176,
0.07615,0.0176,
0.08195,0.0176,
0.0845,0.0168,
0.0665,0.0168,
0.07285,0.0168,
0.06685,0.0168,
0.0604,0.01535,
0.0632,0.01535,
0.09365,0.01535,
0.0506,0.01535,
0.0474,0.01535,
0.07075,0.0137,
0.13385,0.0137,
0.0794,0.0137,
0.0611,0.01195,
0.1113,0.01195,
0.06395,0.01195,
0.0775,0.01195,
0.12455,0.0118,
0.1536,0.0118,
0.08215,0.0118,
0.09815,0.0118,
0.05425,0.01365,
0.05665,0.01365,
0.065684,0.01365,
0.042,0.01365,
0.049,0.0147,
0.063,0.0147,
0.06335,0.0147,
0.0521,0.0147,
0.05805,0.0147,
0.0665,0.0131,
0.06795,0.0131,
0.07625,0.0131,
0.1463,0.0131,
0.21285,0.0135,
0.169737,0.0135,
0.1659,0.0135,
0.16095,0.0135,
0.1589,0.01215,
0.1432,0.01215,
0.1446,0.01215,
0.13475,0.01215,
0.13215,0.01185,
0.14545,0.01185,
0.1776,0.01185,
0.1641,0.01185,
0.14805,0.01185,
0.17795,0.01185,
0.15925,0.01185,
0.16895,0.01185,
0.1697,0.0131,
0.1667,0.0131,
0.1714,0.0131,
0.2139,0.0131,
0.16675,0.0114,
0.13315,0.0114,
0.1381,0.0114,
0.08915,0.0132,
0.0753,0.0132,
0.07665,0.0132,
0.08155,0.0132,
0.07595,0.0142,
0.0958,0.0142,
0.092,0.0142,
0.08485,0.0142,
0.0866,0.01605,
0.087158,0.01605,
0.1291,0.01605,
0.08805,0.01605,
0.11815,0.01465,
0.11315,0.01465,
0.11115,0.01465,
0.1454,0.01465,
0.17965,0.01465,
0.2135,0.0196,
0.1291,0.0196,
0.15035,0.0196,
0.21335,0.0196,
0.2595,0.033,
0.2708,0.033,
0.28275,0.033,
0.25505,0.033,
0.1618,0.0273,
0.1402,0.0273,
0.11595,0.0273,
0.1018,0.0273,
0.09945,0.0224,
0.13705,0.0224,
0.2388,0.0224,
0.3279,0.0224,
0.2979,0.0226,
0.27895,0.0226,
0.2145,0.0226,
0.221,0.020105,
0.19245,0.020105,
0.18785,0.020105,
0.17905,0.020105,
0.1956,0.020105,
0.21075,0.0208,
0.1772,0.0208,
0.25485,0.0208,
0.24445,0.0208,
0.1908,0.0171,
0.1693,0.0171,
0.19285,0.0171,
0.11635,0.0171,
0.1152,0.01385,
0.107,0.01385,
0.09935,0.01385,
0.09925,0.01715,
0.14875,0.01715,
0.17615,0.01715,
0.1118,0.01715,
0.11165,0.01055,
0.121368,0.01055,
0.14675,0.01055,
0.15295,0.01055,
0.1169,0.01775,
0.0758,0.01775,
0.0844,0.01775,
0.06215,0.01775,
0.05655,0.01775,
0.06355,0.0121,
0.07415,0.0121,
0.0859,0.0121,
0.0852,0.0121,
0.08205,0.0112,
0.0821,0.0112,
0.10105,0.0112,
0.13485,0.0112,
0.1267,0.0075,
0.1962,0.0075,
0.28635,0.0075,
0.21795,0.0075,
0.29855,0.01175,
0.2402,0.01175,
0.1424,0.01175,
0.1569,0.01175,
0.06525,0.0178,
0.06875,0.0178,
0.11395,0.0178,
0.143526,0.0178,
0.13505,0.01915,
0.1142,0.01915,
0.04365,0.01915,
0.0784,0.01795,
0.0788,0.01795,
0.0472,0.01795,
0.07195,0.01795,
0.08785,0.0366,
0.0652,0.0366,
0.04545,0.0366,
0.06595,0.0366,
0.07455,0.0159,
0.06,0.0159,
0.06445,0.0159,
0.0285,0.0159,
0.06215,0.0159,
0.05285,0.0194,
0.0715,0.0194,
0.04815,0.0194,
0.0327,0.0171,
0.0416,0.0171,
0.0455,0.0171,
0.04745,0.0171,
0.059,0.0171,
0.03655,0.0204,
0.08245,0.0204,
0.1467,0.0204,
0.0943,0.0127,
0.1292,0.0127,
0.107526,0.0127,
0.10385,0.0127,
0.12475,0.0127,
0.1029,0.0222,
0.10015,0.0222,
0.08865,0.0222,
0.04955,0.0222,
0.15115,0.02135,
0.06955,0.02135,
0.05745,0.02135,
0.0639,0.02135,
0.07995,0.01425,
0.05945,0.01425,
0.1388,0.01425,
0.08025,0.01425,
0.04985,0.01085,
0.0531,0.01085,
0.0796,0.01085,
0.0766,0.01085,
0.1202,0.00915,
0.177,0.00915,
0.08475,0.00915,
0.0551,0.0082,
0.0587,0.0082,
0.06085,0.0082,
0.04855,0.0082,
0.07365,0.0082,
0.12005,0.008,
0.07945,0.008,
0.15605,0.008,
0.163789,0.008158,
0.1863,0.008158,
0.14055,0.008158,
0.15585,0.008158,
0.06855,0.00975,
0.16815,0.00975,
0.17995,0.00975,
0.1426,0.00975,
0.1404,0.0076,
0.1085,0.0076,
0.112,0.0076,
0.1239,0.0076,
0.11525,0.00865,
0.13905,0.00865,
0.11115,0.00865,
0.147,0.00865,
0.0416,0.0081,
0.0946,0.0081,
0.08645,0.0081,
0.0986,0.0081,
0.0673,0.0081,
0.05885,0.0132,
0.0668,0.0132,
0.07705,0.0132,
0.0591,0.0132,
0.0546,0.01535,
0.044947,0.01535,
0.0671,0.01535,
0.07025,0.01535,
0.07105,0.01405,
0.04915,0.01405,
0.05465,0.01405,
0.05715,0.00875,
0.0441,0.00875,
0.04275,0.00875,
0.0411,0.00875,
0.04245,0.00875,
0.0525,0.00675,
0.05375,0.00675,
0.0618,0.00675,
0.0402,0.00675,
0.0374,0.0066,
0.0328,0.0066,
0.0305,0.0066,
0.0355,0.0066,
0.03085,0.00615,
0.0293,0.00615,
0.0313,0.00615,
0.0269,0.00595,
0.0244,0.00595,
0.02345,0.00595,
0.0277,0.00595,
0.0499,0.0071,
0.06525,0.0071,
0.0766,0.0071,
0.03215,0.0071,
0.03035,0.0061,
0.04135,0.0061,
0.0532,0.0061,
0.0471,0.0061,
0.03565,0.0063,
0.0305,0.0063,
0.04355,0.0063,
0.0342,0.0063,
0.0253,0.0063,
0.02685,0.0063,
0.02355,0.0053,
0.0489,0.0053,
0.0674,0.0053,
0.05635,0.00665,
0.04745,0.00665,
0.0423,0.00665,
0.0277,0.00665,
0.0262,0.00775,
0.02735,0.00775,
0.04075,0.00775,
0.04645,0.00775,
0.03935,0.006,
0.05185,0.006,
0.03955,0.006,
0.04835,0.006,
0.0582,0.0044,
0.0503,0.0044,
0.06715,0.0044,
0.07195,0.0044,
0.0755,0.0043,
0.06145,0.0043,
0.0448,0.0043,
0.0471,0.0051,
0.03305,0.0051,
0.0253,0.0051,
0.0174,0.0051,
0.0207,0.0055,
0.0372,0.0055,
0.0715,0.0055,
0.0538,0.0055,
0.0462,0.0055,
0.0738,0.0071,
0.0792,0.0071,
0.04675,0.0071,
0.037,0.0097,
0.0328,0.0097,
0.03075,0.0097,
0.0322,0.0097,
0.0387,0.0097,
0.0443,0.01295,
0.0403,0.01295,
0.0447,0.01295,
0.0481,0.0147,
0.03995,0.0147,
0.039,0.0147,
0.0539,0.0147,
0.03945,0.0147,
0.0403,0.0175,
0.0485,0.0175,
0.0355,0.0175,
0.03315,0.0175,
0.03645,0.0186,
0.032,0.0186,
0.0229,0.0186,
0.0288,0.0186,
0.02575,0.01975,
0.02495,0.01975,
0.02535,0.01975,
0.02575,0.01975,
0.025474,0.019526,
0.0249,0.019526,
0.02565,0.04295,
0.0251,0.09445,
0.02555,0.02265,
0.0265,0.01015,
0.03515,0.01105,
0.0354,0.00785,
0.03315,0.00985,
0.03685,0.006,
0.03355,0.0076,
0.0366,0.0104,
0.0344,0.0089,
0.04065,0.012316,
0.0491,0.0133,
0.0394,0.0129,
0.0357,0.01155,
0.0369,0.02685,
0.0507,0.019,
0.04845,0.0228,
0.04525,0.0204,
0.0414,0.0107,
0.04295,0.01725,
0.0442,0.0262,
0.0428,0.0222,
0.04115,0.0123,
0.0438,0.01255,
0.04125,0.0123,
0.03145,0.01515,
0.03845,0.01705,
0.03615,0.0232,
0.0765,0.0274,
0.07465,0.0374,
0.0657,0.0213,
0.2364,0.0206,
0.2257,0.0198,
0.09695,0.0162,
0.1382,0.0454,
0.0513,0.04645,
0.0659,0.02665,
0.06905,0.0216,
0.0627,0.01415,
0.06875,0.020474,
0.0532,0.0152,
0.0593,0.0117,
0.0743,0.03015,
0.0936,0.04235,
0.09525,0.007,
0.0826,0.007,
0.07565,0.007,
0.09505,0.007,
0.06985,0.0131,
0.0595,0.0131,
0.07635,0.0131,
0.0744,0.0131,
0.05805,0.0131,
0.066,0.0307,
0.06415,0.0307,
0.06145,0.0307,
0.0564,0.0307,
0.0544,0.0061,
0.07315,0.0061,
0.21155,0.0061,
0.1859,0.0061,
0.194,0.01065,
0.18435,0.01065,
0.1258,0.01065,
0.0998,0.01615,
0.1121,0.01615,
0.1085,0.01615,
0.11015,0.01615,
0.1127,0.01615,
0.1273,0.0111,
0.1045,0.0111,
0.0936,0.0111,
0.0925,0.0194,
0.0797,0.0194,
0.0683,0.0194,
0.0676,0.0194,
0.07415,0.0194,
0.0711,0.01195,
0.05995,0.01195,
0.0564,0.01195,
0.05075,0.0131,
0.0444,0.0131,
0.04005,0.0131,
0.06325,0.0131,
0.03915,0.0131,
0.044,0.00925,
0.07465,0.00925,
0.0334,0.00925,
0.02885,0.0118,
0.0372,0.0118,
0.030263,0.0118,
0.05045,0.0118,
0.07035,0.0118,
0.0904,0.01145,
0.047,0.01145,
0.0826,0.01145,
0.0604,0.02995,
0.0908,0.02995,
0.1008,0.02995,
0.101,0.02995,
0.2546,0.02995,
0.2411,0.2473,
0.18745,0.2473,
0.026,0.2473,
0.0329,0.2473,
0.0274,0.18105,
0.0374,0.18105,
0.032,0.18105,
0.0346,0.18105,
0.0466,0.1324,
0.0392,0.1324,
0.0356,0.1324,
0.0357,0.1324,
0.0692,0.0765,
0.060579,0.0765,
0.1081,0.0765,
0.1343,0.0765,
0.092,0.1361,
0.1322,0.1361,
0.12905,0.1361,
0.03855,0.1361,
0.03835,0.06945,
0.02185,0.06945,
0.0177,0.06945,
0.02905,0.06945,
0.0366,0.0278,
0.0572,0.0278,
