,74040126_239
2022-04-24 03:30:19.182824+00:00,38.0
2022-04-24 03:35:19.299264+00:00,38.0
2022-04-24 03:40:18.826238+00:00,38.0
2022-04-24 03:45:14.960184+00:00,37.0
2022-04-24 03:50:15.447112+00:00,37.0
2022-04-24 03:55:18.773540+00:00,37.0
2022-04-24 04:00:18.515279+00:00,37.0
2022-04-24 04:05:16.629536+00:00,36.0
2022-04-24 04:10:18.800633+00:00,36.0
2022-04-24 04:15:19.005062+00:00,36.0
2022-04-24 04:20:15.145307+00:00,36.0
2022-04-24 04:25:18.472549+00:00,36.0
2022-04-24 04:30:18.809204+00:00,33.0
2022-04-24 04:35:19.827791+00:00,33.0
2022-04-24 04:40:18.236324+00:00,33.0
2022-04-24 04:45:16.983398+00:00,33.0
2022-04-24 04:50:18.712527+00:00,33.0
2022-04-24 04:55:19.079580+00:00,33.0
2022-04-24 05:00:19.497705+00:00,33.0
2022-04-24 05:05:19.561494+00:00,33.0
2022-04-24 05:10:19.418888+00:00,31.0
2022-04-24 05:15:19.920181+00:00,31.0
2022-04-24 05:20:18.514990+00:00,31.0
2022-04-24 05:25:14.003782+00:00,31.0
2022-04-24 05:30:18.307666+00:00,30.0
2022-04-24 05:35:18.858442+00:00,30.0
2022-04-24 05:40:14.367834+00:00,30.0
2022-04-24 05:45:17.041616+00:00,30.0
2022-04-24 05:50:18.936677+00:00,29.0
2022-04-24 05:55:17.815456+00:00,29.0
2022-04-24 06:00:19.994342+00:00,29.0
2022-04-24 06:05:17.701996+00:00,29.0
2022-04-24 06:10:18.288366+00:00,28.0
2022-04-24 06:15:17.989113+00:00,28.0
2022-04-24 06:20:17.932354+00:00,28.0
2022-04-24 06:25:17.565314+00:00,27.0
2022-04-24 06:30:19.340899+00:00,27.0
2022-04-24 06:35:20.847840+00:00,27.0
2022-04-24 06:40:17.152594+00:00,27.0
2022-04-24 06:45:17.377330+00:00,27.0
2022-04-24 06:50:18.831589+00:00,27.0
2022-04-24 06:55:19.378254+00:00,27.0
2022-04-24 07:00:20.405371+00:00,27.0
2022-04-24 07:05:18.896954+00:00,27.0
2022-04-24 07:10:16.399805+00:00,26.0
2022-04-24 07:15:19.664300+00:00,26.0
2022-04-24 07:20:18.793281+00:00,26.0
2022-04-24 07:25:19.300687+00:00,26.0
2022-04-24 07:30:14.629653+00:00,26.0
2022-04-24 07:35:18.307534+00:00,26.0
2022-04-24 07:40:19.573868+00:00,26.0
2022-04-24 07:45:19.243158+00:00,26.0
2022-04-24 07:50:18.821522+00:00,26.0
2022-04-24 07:55:14.830474+00:00,26.0
2022-04-24 08:00:18.199401+00:00,26.0
2022-04-24 08:05:18.110557+00:00,25.0
2022-04-24 08:10:18.206941+00:00,25.0
2022-04-24 08:15:18.768327+00:00,25.0
2022-04-24 08:20:15.278021+00:00,25.0
2022-04-24 08:25:18.095496+00:00,25.0
2022-04-24 08:30:18.976667+00:00,25.0
2022-04-24 08:35:19.006443+00:00,25.0
2022-04-24 08:40:18.323323+00:00,25.0
2022-04-24 08:45:21.679069+00:00,24.0
2022-04-24 08:50:19.952158+00:00,24.0
2022-04-24 08:55:14.902588+00:00,24.0
2022-04-24 09:00:19.906078+00:00,24.0
2022-04-24 09:05:19.328191+00:00,24.0
2022-04-24 09:10:18.667799+00:00,24.0
2022-04-24 09:15:19.487425+00:00,24.0
2022-04-24 09:20:19.081750+00:00,24.0
2022-04-24 09:25:18.523800+00:00,24.0
2022-04-24 09:30:18.931633+00:00,24.0
2022-04-24 09:35:19.498926+00:00,24.0
2022-04-24 09:40:17.982230+00:00,24.0
2022-04-24 09:45:19.746964+00:00,24.0
2022-04-24 09:50:19.676357+00:00,23.0
2022-04-24 09:55:18.499557+00:00,23.0
2022-04-24 10:00:15.744102+00:00,23.0
2022-04-24 10:05:19.098194+00:00,23.0
2022-04-24 10:10:20.939471+00:00,23.0
2022-04-24 10:15:18.589365+00:00,23.0
2022-04-24 10:20:19.270665+00:00,23.0
2022-04-24 10:25:19.544169+00:00,23.0
2022-04-24 10:30:18.903309+00:00,23.0
2022-04-24 10:35:19.790040+00:00,23.0
2022-04-24 10:40:19.524004+00:00,23.0
2022-04-24 10:45:19.145790+00:00,23.0
2022-04-24 10:50:17.252918+00:00,23.0
2022-04-24 10:55:18.813709+00:00,23.0
2022-04-24 11:00:15.541252+00:00,23.0
2022-04-24 11:05:18.653321+00:00,23.0
2022-04-24 11:10:18.440312+00:00,22.0
2022-04-24 11:15:18.577794+00:00,22.0
2022-04-24 11:20:18.426400+00:00,22.0
2022-04-24 11:25:19.623619+00:00,22.0
2022-04-24 11:30:19.761129+00:00,22.0
2022-04-24 11:35:19.889431+00:00,22.0
2022-04-24 11:40:18.612327+00:00,22.0
2022-04-24 11:45:14.896974+00:00,22.0
2022-04-24 11:50:15.227891+00:00,20.0
2022-04-24 11:55:17.917461+00:00,20.0
2022-04-24 12:00:19.858960+00:00,20.0
2022-04-24 12:05:17.700126+00:00,20.0
2022-04-24 12:10:16.504368+00:00,21.0
2022-04-24 12:15:18.869398+00:00,21.0
2022-04-24 12:20:18.896458+00:00,21.0
2022-04-24 12:25:20.003225+00:00,21.0
2022-04-24 12:30:18.955983+00:00,21.0
2022-04-24 12:35:19.480093+00:00,21.0
2022-04-24 12:40:18.813780+00:00,21.0
2022-04-24 12:45:19.715766+00:00,21.0
2022-04-24 12:50:18.010401+00:00,21.0
2022-04-24 12:55:18.660909+00:00,21.0
2022-04-24 13:00:19.255545+00:00,21.0
2022-04-24 13:05:20.580945+00:00,21.0
2022-04-24 13:10:20.391138+00:00,20.0
2022-04-24 13:15:19.098140+00:00,20.0
2022-04-24 13:20:19.261735+00:00,20.0
2022-04-24 13:25:18.955225+00:00,20.0
2022-04-24 13:30:19.428235+00:00,20.0
2022-04-24 13:35:18.821671+00:00,20.0
2022-04-24 13:40:18.905458+00:00,20.0
2022-04-24 13:45:18.743994+00:00,20.0
2022-04-24 13:50:19.152755+00:00,20.0
2022-04-24 13:55:19.372145+00:00,20.0
2022-04-24 14:00:20.383754+00:00,20.0
2022-04-24 14:05:18.478717+00:00,20.0
2022-04-24 14:10:18.930225+00:00,20.0
2022-04-24 14:15:18.282384+00:00,20.0
2022-04-24 14:20:19.550409+00:00,20.0
