,74040126_232
2022-01-14 06:40:03.949887+00:00,0.038194
2022-01-14 07:00:03.411219+00:00,0.034743
2022-01-14 07:20:02.718601+00:00,0.035284
2022-01-14 07:40:03.387761+00:00,0.036776
2022-01-14 08:00:03.043628+00:00,0.039099
2022-01-14 08:20:02.921849+00:00,0.040993
2022-01-14 08:40:02.743177+00:00,0.03033
2022-01-14 09:00:04.332211+00:00,0.036102
2022-01-14 09:20:02.939423+00:00,0.035795
2022-01-14 09:40:02.639035+00:00,0.036251
2022-01-14 10:00:02.912982+00:00,0.046375
2022-01-14 10:20:03.782214+00:00,0.042876
2022-01-14 10:40:03.933354+00:00,0.039694
2022-01-14 11:00:03.142433+00:00,0.049976
2022-01-14 11:20:03.468460+00:00,0.044432
2022-01-14 11:40:03.115807+00:00,0.054221
2022-01-14 12:00:02.795788+00:00,0.043657
2022-01-14 12:20:03.603845+00:00,0.043478
2022-01-14 12:40:02.860266+00:00,0.047754
2022-01-14 13:00:05.112153+00:00,0.05046
2022-01-14 13:20:03.460748+00:00,0.043156
2022-01-14 13:40:02.562074+00:00,0.044446
2022-01-14 13:54:03.653311+00:00,0.040285
2022-01-14 13:56:02.525591+00:00,0.040285
2022-01-14 13:58:02.262072+00:00,0.040285
2022-01-14 14:20:02.113366+00:00,0.032243
2022-01-14 14:40:03.642427+00:00,0.029548
2022-01-14 15:00:03.023066+00:00,0.026829
2022-01-14 15:20:02.104946+00:00,0.027973
2022-01-14 15:40:02.292321+00:00,0.0237
2022-01-14 16:00:06.499697+00:00,0.027285
2022-01-14 16:20:02.626816+00:00,0.031535
2022-01-14 16:40:02.689256+00:00,0.022839
2022-01-14 17:00:03.553928+00:00,0.012838
2022-01-14 17:20:03.083419+00:00,0.011258
2022-01-14 17:40:02.798461+00:00,0.012632
2022-01-14 18:00:02.952127+00:00,0.013522
2022-01-14 18:20:02.200635+00:00,0.013582
2022-01-14 18:40:02.361301+00:00,0.015605
2022-01-14 19:00:02.111404+00:00,0.009321
2022-01-14 19:20:02.875388+00:00,0.007272
2022-01-14 19:40:02.455756+00:00,0.00306
2022-01-14 20:00:03.997311+00:00,0.001727
2022-01-14 20:20:02.536175+00:00,0.00104
2022-01-14 20:40:03.475809+00:00,0.001068
2022-01-14 21:00:03.906892+00:00,0.001208
2022-01-14 21:20:02.225119+00:00,0.000672
2022-01-14 21:40:03.174001+00:00,0.000143
2022-01-14 22:00:02.544826+00:00,0.000999
2022-01-14 22:20:04.837127+00:00,7.5e-05
2022-01-14 22:40:03.257449+00:00,0.000706
2022-01-14 23:00:04.621701+00:00,0.000382
2022-01-14 23:20:02.614670+00:00,1.5e-05
2022-01-14 23:40:02.615381+00:00,0.001642
2022-01-15 00:00:04.317253+00:00,0.002484
2022-01-15 00:20:03.002354+00:00,0.000842
2022-01-15 00:40:02.860119+00:00,0.003345
2022-01-15 01:00:03.668552+00:00,0.006728
2022-01-15 01:20:02.248203+00:00,0.020528
2022-01-15 01:40:02.994023+00:00,0.012088
2022-01-15 02:00:03.004119+00:00,0.007593
2022-01-15 02:20:04.343445+00:00,0.014251
2022-01-15 02:40:03.224022+00:00,0.01635
2022-01-15 03:00:03.540603+00:00,0.037665
2022-01-15 03:20:03.187793+00:00,0.03315
2022-01-15 03:40:02.549584+00:00,0.027763
2022-01-15 04:00:02.355611+00:00,0.032482
2022-01-15 04:20:03.706225+00:00,0.037415
2022-01-15 04:40:02.592503+00:00,0.047811
2022-01-15 05:00:03.495871+00:00,0.047007
2022-01-15 05:20:03.861748+00:00,0.037651
2022-01-15 05:40:02.187223+00:00,0.03673
2022-01-15 06:00:02.956458+00:00,0.03318
2022-01-15 06:20:03.673097+00:00,0.034585
2022-01-15 06:40:02.946517+00:00,0.034712
2022-01-15 07:00:03.084781+00:00,0.029766
2022-01-15 07:20:02.692630+00:00,0.030303
2022-01-15 07:40:03.625996+00:00,0.064892
2022-01-15 08:00:03.087904+00:00,0.044892
2022-01-15 08:20:02.713480+00:00,0.024163
2022-01-15 08:40:03.535504+00:00,0.026148
2022-01-15 09:00:02.714088+00:00,0.025544
2022-01-15 09:20:02.918348+00:00,0.023834
2022-01-15 09:40:03.425613+00:00,0.026983
2022-01-15 10:00:02.708328+00:00,0.025604
2022-01-15 10:20:03.314400+00:00,0.024562
2022-01-15 10:40:03.216808+00:00,0.046332
2022-01-15 11:00:03.252177+00:00,0.0326
2022-01-15 11:20:02.905906+00:00,0.031034
2022-01-15 11:40:03.787170+00:00,0.034652
2022-01-15 12:00:03.437288+00:00,0.032565
2022-01-15 12:20:03.541017+00:00,0.025273
2022-01-15 12:40:03.792096+00:00,0.017896
2022-01-15 13:00:04.442584+00:00,0.026164
2022-01-15 13:20:02.295365+00:00,0.022937
2022-01-15 13:40:03.107095+00:00,0.022296
2022-01-15 14:00:02.713255+00:00,0.018788
