,74040126_237
2022-01-14 06:40:03.882869+00:00,0.04505
2022-01-14 07:00:03.340318+00:00,0.03155
2022-01-14 07:20:02.532977+00:00,0.0474
2022-01-14 07:40:03.363538+00:00,0.02525
2022-01-14 08:00:02.991628+00:00,0.02175
2022-01-14 08:20:02.875388+00:00,0.0155
2022-01-14 08:40:02.654345+00:00,0.01875
2022-01-14 09:00:04.311528+00:00,0.02765
2022-01-14 09:20:02.915223+00:00,0.0146
2022-01-14 09:40:02.519292+00:00,0.01775
2022-01-14 10:00:02.835814+00:00,0.0163
2022-01-14 10:20:03.711941+00:00,0.01805
2022-01-14 10:40:03.859116+00:00,0.0134
2022-01-14 11:00:02.821916+00:00,0.01625
2022-01-14 11:20:03.147258+00:00,0.01545
2022-01-14 11:40:03.083769+00:00,0.01355
2022-01-14 12:00:02.726630+00:00,0.01265
2022-01-14 12:20:03.475986+00:00,0.01435
2022-01-14 12:40:02.834326+00:00,0.0207
2022-01-14 13:00:04.904450+00:00,0.02125
2022-01-14 13:20:03.379658+00:00,0.025632
2022-01-14 13:40:02.522043+00:00,0.02035
2022-01-14 13:54:03.591322+00:00,0.0227
2022-01-14 13:56:02.504711+00:00,0.0227
2022-01-14 13:58:02.212836+00:00,0.0227
2022-01-14 14:20:02.065641+00:00,0.01835
2022-01-14 14:40:03.620655+00:00,0.02105
2022-01-14 15:00:02.936481+00:00,0.01695
2022-01-14 15:20:02.045438+00:00,0.0181
2022-01-14 15:40:02.150757+00:00,0.0182
2022-01-14 16:00:06.467816+00:00,0.01775
2022-01-14 16:20:02.430115+00:00,0.0196
2022-01-14 16:40:02.557842+00:00,0.0175
2022-01-14 17:00:03.537201+00:00,0.01575
2022-01-14 17:20:03.052773+00:00,0.01535
2022-01-14 17:40:02.761288+00:00,0.0155
2022-01-14 18:00:02.693050+00:00,0.01715
2022-01-14 18:20:02.061794+00:00,0.01635
2022-01-14 18:40:02.276823+00:00,0.01755
2022-01-14 19:00:02.030213+00:00,0.0178
2022-01-14 19:20:02.808892+00:00,0.0162
2022-01-14 19:40:02.331963+00:00,0.0183
2022-01-14 20:00:03.971414+00:00,0.01795
2022-01-14 20:20:02.422886+00:00,0.0258
2022-01-14 20:40:03.416094+00:00,0.0214
2022-01-14 21:00:03.831828+00:00,0.0188
2022-01-14 21:20:02.103710+00:00,0.0203
2022-01-14 21:40:03.143761+00:00,0.018
2022-01-14 22:00:02.509913+00:00,0.0189
2022-01-14 22:20:04.800623+00:00,0.01895
2022-01-14 22:40:03.210777+00:00,0.0208
2022-01-14 23:00:04.260059+00:00,0.0194
2022-01-14 23:20:02.579441+00:00,0.016421
2022-01-14 23:40:02.504889+00:00,0.0167
2022-01-15 00:00:04.241050+00:00,0.0169
2022-01-15 00:20:02.957166+00:00,0.01845
2022-01-15 00:40:02.797605+00:00,0.0193
2022-01-15 01:00:03.501275+00:00,0.01795
2022-01-15 01:20:02.149483+00:00,0.01885
2022-01-15 01:40:02.908653+00:00,0.0178
2022-01-15 02:00:02.972343+00:00,0.0166
2022-01-15 02:20:04.275315+00:00,0.0183
2022-01-15 02:40:03.009393+00:00,0.0232
2022-01-15 03:00:03.367385+00:00,0.02425
2022-01-15 03:20:03.018918+00:00,0.0238
2022-01-15 03:40:02.523636+00:00,0.0188
2022-01-15 04:00:02.291719+00:00,0.02155
2022-01-15 04:20:03.659545+00:00,0.025
2022-01-15 04:40:02.518888+00:00,0.02835
2022-01-15 05:00:03.409015+00:00,0.0411
2022-01-15 05:20:03.817229+00:00,0.0373
2022-01-15 05:40:02.120580+00:00,0.036
2022-01-15 06:00:02.872897+00:00,0.04815
2022-01-15 06:20:03.627042+00:00,0.0281
2022-01-15 06:40:02.853392+00:00,0.02665
2022-01-15 07:00:03.027745+00:00,0.02245
2022-01-15 07:20:02.605462+00:00,0.03155
2022-01-15 07:40:03.603662+00:00,0.05205
2022-01-15 08:00:02.997253+00:00,0.0344
2022-01-15 08:20:02.677034+00:00,0.03485
2022-01-15 08:40:03.502398+00:00,0.0421
2022-01-15 09:00:02.654721+00:00,0.0292
2022-01-15 09:20:02.881204+00:00,0.036579
2022-01-15 09:40:03.386539+00:00,0.0388
2022-01-15 10:00:02.508671+00:00,0.03695
2022-01-15 10:20:03.201000+00:00,0.0428
2022-01-15 10:40:03.178415+00:00,0.0442
2022-01-15 11:00:03.142367+00:00,0.04495
2022-01-15 11:20:02.887869+00:00,0.04255
2022-01-15 11:40:03.761819+00:00,0.04885
2022-01-15 12:00:03.364231+00:00,0.03355
2022-01-15 12:20:03.518725+00:00,0.0235
2022-01-15 12:40:03.747843+00:00,0.0222
2022-01-15 13:00:04.350702+00:00,0.02815
2022-01-15 13:20:02.274928+00:00,0.02145
2022-01-15 13:40:03.043082+00:00,0.02235
2022-01-15 14:00:02.659849+00:00,0.0202
2022-01-15 14:20:02.710952+00:00,0.0194
2022-01-15 14:40:03.228354+00:00,0.02045
2022-01-15 15:00:03.419897+00:00,0.0351
2022-01-15 15:20:02.569541+00:00,0.01875
2022-01-15 15:40:04.401379+00:00,0.02125
2022-01-15 16:00:03.309624+00:00,0.01635
2022-01-15 16:20:03.078149+00:00,0.0187
2022-01-15 16:40:02.386091+00:00,0.01895
2022-01-15 17:00:03.537861+00:00,0.0188
2022-01-15 17:20:02.749282+00:00,0.01625
2022-01-15 17:40:02.785503+00:00,0.0173
2022-01-15 18:00:04.622081+00:00,0.01785
2022-01-15 18:20:02.890719+00:00,0.0136
2022-01-15 18:40:02.761659+00:00,0.012789
2022-01-15 19:00:04.689923+00:00,0.0127
2022-01-15 19:20:03.712772+00:00,0.013
2022-01-15 19:40:03.543185+00:00,0.0141
2022-01-15 20:00:02.800296+00:00,0.0118
2022-01-15 20:20:02.659241+00:00,0.0135
2022-01-15 20:40:02.040788+00:00,0.0194
2022-01-15 21:00:02.888211+00:00,0.01285
2022-01-15 21:20:02.259609+00:00,0.0184
2022-01-15 21:40:03.286705+00:00,0.02
2022-01-15 22:00:02.567134+00:00,0.0133
2022-01-15 22:20:02.952355+00:00,0.007
2022-01-15 22:40:02.752728+00:00,0.0068
2022-01-15 23:00:05.038771+00:00,0.00915
2022-01-15 23:20:02.891724+00:00,0.0093
2022-01-15 23:40:02.777518+00:00,0.01045
2022-01-16 00:00:03.129025+00:00,0.0094
2022-01-16 00:20:05.823547+00:00,0.0099
2022-01-16 00:40:04.535486+00:00,0.0092
