,74040126_238
2022-01-14 06:40:03.867817+00:00,-19.2
2022-01-14 07:00:03.331866+00:00,-18.8
2022-01-14 07:20:02.504506+00:00,-18.2
2022-01-14 07:40:03.357069+00:00,-17.9
2022-01-14 08:00:02.977302+00:00,-17.7
2022-01-14 08:20:02.859853+00:00,-17.4
2022-01-14 08:40:02.637353+00:00,-17.6
2022-01-14 09:00:04.307210+00:00,-17.3
2022-01-14 09:20:02.910911+00:00,-17.1
2022-01-14 09:40:02.512066+00:00,-16.9
2022-01-14 10:00:02.823728+00:00,-16.6
2022-01-14 10:20:03.690955+00:00,-16.4
2022-01-14 10:40:03.855367+00:00,-16.3
2022-01-14 11:00:02.755109+00:00,-16.5
2022-01-14 11:20:03.138456+00:00,-16.7
2022-01-14 11:40:03.073345+00:00,-16.7
2022-01-14 12:00:02.714972+00:00,-16.7
2022-01-14 12:20:03.468106+00:00,-16.6
2022-01-14 12:40:02.826101+00:00,-16.5
2022-01-14 13:00:04.884913+00:00,-16.5
2022-01-14 13:20:03.359959+00:00,-16.7
2022-01-14 13:40:02.511865+00:00,-16.8
2022-01-14 13:54:03.579295+00:00,-16.9
2022-01-14 13:56:02.500805+00:00,-16.9
2022-01-14 13:58:02.207024+00:00,-16.9
2022-01-14 14:20:02.062536+00:00,-16.9
2022-01-14 14:40:03.614686+00:00,-17.1
2022-01-14 15:00:02.920302+00:00,-17.3
2022-01-14 15:20:02.039622+00:00,-17.3
2022-01-14 15:40:02.128380+00:00,-17.3
2022-01-14 16:00:06.454791+00:00,-17.4
2022-01-14 16:20:02.417331+00:00,-17.5
2022-01-14 16:40:02.533933+00:00,-17.7
2022-01-14 17:00:03.533504+00:00,-17.7
2022-01-14 17:20:03.025221+00:00,-17.6
2022-01-14 17:40:02.741498+00:00,-17.6
2022-01-14 18:00:02.686478+00:00,-17.6
2022-01-14 18:20:02.034114+00:00,-17.7
2022-01-14 18:40:02.271683+00:00,-17.7
2022-01-14 19:00:01.931585+00:00,-17.6
2022-01-14 19:20:02.802217+00:00,-17.6
2022-01-14 19:40:02.326353+00:00,-17.6
2022-01-14 20:00:03.966841+00:00,-17.5
2022-01-14 20:20:02.272266+00:00,-17.5
2022-01-14 20:40:03.411701+00:00,-17.5
2022-01-14 21:00:03.806819+00:00,-17.5
2022-01-14 21:20:02.080424+00:00,-17.5
2022-01-14 21:40:03.129613+00:00,-17.4
2022-01-14 22:00:02.501616+00:00,-17.4
2022-01-14 22:20:04.796057+00:00,-17.3
2022-01-14 22:40:03.207246+00:00,-17.2
2022-01-14 23:00:04.246092+00:00,-17.1
2022-01-14 23:20:02.572060+00:00,-17.1
2022-01-14 23:40:02.498660+00:00,-17.0
2022-01-15 00:00:04.207650+00:00,-16.8
2022-01-15 00:20:02.947673+00:00,-16.8
2022-01-15 00:40:02.765474+00:00,-16.7
2022-01-15 01:00:03.435408+00:00,-16.7
2022-01-15 01:20:02.143228+00:00,-16.7
2022-01-15 01:40:02.824316+00:00,-16.7
2022-01-15 02:00:02.948611+00:00,-16.8
2022-01-15 02:20:04.268751+00:00,-16.9
2022-01-15 02:40:03.001737+00:00,-17.0
2022-01-15 03:00:03.349927+00:00,-17.1
2022-01-15 03:20:03.015500+00:00,-17.2
2022-01-15 03:40:02.518782+00:00,-17.3
2022-01-15 04:00:02.257683+00:00,-17.5
2022-01-15 04:20:03.648675+00:00,-17.6
2022-01-15 04:40:02.504801+00:00,-17.8
2022-01-15 05:00:03.373718+00:00,-17.8
2022-01-15 05:20:03.809376+00:00,-17.8
2022-01-15 05:40:02.070276+00:00,-17.8
2022-01-15 06:00:02.866826+00:00,-17.6
2022-01-15 06:20:03.616290+00:00,-17.3
2022-01-15 06:40:02.835839+00:00,-17.1
